county_fips,year,population,youth_population,median_income,poverty_rate,pct_bachelors,pop_density
54079,2022,57347,12494,75725.0,10.945352310665964,29.535760952639233,165.89668449631017
54081,2022,74303,15578,47975.0,22.025505741613294,20.551188559522682,122.73900101424904
54083,2022,28005,5148,51186.0,15.477919528949952,17.630156333706715,26.935654515725687
54085,2022,8507,1726,48973.0,20.31570068682974,12.319538017324351,18.821212858691563
54087,2022,14027,2889,41299.0,21.07571726468685,13.620178041543026,29.007595701077214
54089,2022,11985,1901,42991.0,21.18590610074795,16.54286926994907,33.237378947718724
54091,2022,16602,3358,52946.0,16.852402179296682,18.34741938130795,96.09251552633255
54093,2022,6747,960,54053.0,9.755725190839696,24.832962138084632,16.10093450807075
54095,2022,8336,1580,59167.0,12.024390243902438,16.386282756389516,32.52413168839884
54097,2022,23875,4878,49663.0,17.829664220591507,16.646363747106836,67.3221707769613
54099,2022,38933,7953,52694.0,16.73931546774651,18.313932728700994,76.94192745130977
54101,2022,8362,1671,43409.0,17.836010143702453,11.502993043196893,15.108316620593708
54103,2022,14431,2996,50715.0,16.99758899446887,13.44007763221737,40.30251321680021
54105,2022,5202,1108,52776.0,20.287044220325832,15.15072765072765,22.37313503447149
54107,2022,84272,17576,54350.0,14.782965276856464,22.032296571390674,229.93724420190995
54109,2022,21237,4295,44510.0,24.435142463016696,11.42616689324788,42.51907021442729
55001,2022,20730,2943,55223.0,14.552595800392771,15.624246806459388,32.10737772711362
55003,2022,16041,3434,57000.0,16.636375438140984,20.67169540229885,15.350679923825563
55005,2022,46683,9965,59379.0,11.75510381752492,20.73280789362854,54.090536734128726
55007,2022,16214,2718,67266.0,10.443018256589195,33.567158230370666,10.971113371103627
55009,2022,268393,62444,74066.0,9.697799466120038,31.736613202581786,506.3139983248191
55011,2022,13329,2665,64238.0,8.232445520581114,21.001333743716017,19.723553583874303
55013,2022,16561,2772,60466.0,11.645338208409505,22.08631972577127,20.157108846683773
55015,2022,52361,11974,84151.0,5.8527979135504165,31.70731707317073,164.52788688138256
55017,2022,66254,14368,69815.0,9.932556713672595,23.205533512974476,65.70503443727655
55019,2022,34703,10231,63187.0,12.249456298124963,13.11505820154895,28.687325266306132
55021,2022,58272,12196,79271.0,7.519963334449753,24.18508849663497,76.1128526645768
55023,2022,16123,3165,60823.0,12.37059704407839,17.51824817518248,28.246073527737146
55025,2022,559891,111559,84297.0,10.85337590205289,53.98579640434412,467.9422246292507
55027,2022,89032,17473,71747.0,7.623492347118707,19.570409429280396,101.66963762662742
55029,2022,30038,4898,68257.0,8.660675216264432,35.25954946131244,62.32777796221905
55031,2022,44092,8522,64682.0,11.230095912096099,27.203958773284587,33.80583191236184
55033,2022,45221,8729,69721.0,10.977187769577302,28.563772775991424,53.19122658232166
55035,2022,105697,21140,70127.0,12.08396332004634,35.36999925777481,165.6895357112625
55037,2022,4574,721,58049.0,9.79564637938694,22.511782644857224,9.372489877547006
55039,2022,104027,21977,70368.0,8.589933640424622,22.302582014930483,144.56908747772962
55041,2022,9239,1790,55552.0,13.94497448413579,15.740604274134121,9.109050288583074
55043,2022,51842,10820,63497.0,13.805576799851174,24.212144504227517,45.20275495977337
55045,2022,37066,8063,76080.0,6.619865079800362,26.149023754673518,63.46439651807056
55047,2022,19093,4153,66395.0,12.779023817152622,22.42630721374611,54.62259400819354
55049,2022,23766,5233,79226.0,7.983980913428766,27.753434391283754,31.160433094094913
55051,2022,6136,914,55777.0,10.482390252044734,23.734305386796272,8.092755427593184
55053,2022,20958,4521,64630.0,12.706037010820104,15.879828326180256,21.214375730705576
55055,2022,85932,17339,77018.0,7.63042036065376,27.872572917542236,154.41731417522624
55057,2022,26695,5284,63455.0,14.690620331787091,16.116751269035532,34.80075767748126
55059,2022,168693,37340,76583.0,11.09917260051113,29.41669504177689,620.575868272064
55061,2022,20570,4294,77610.0,6.724830898931478,20.257738988135824,60.066461480958026
55063,2022,120216,23467,68731.0,11.779613371967306,35.84799220472845,266.0782148129622
55065,2022,16716,4020,69293.0,10.524410114054673,19.878617292637877,26.383075437034794
55067,2022,19512,3784,55091.0,12.240340673036975,15.830600711644458,22.40981290700479
55069,2022,28402,5076,64314.0,10.369466087393631,18.774537296690973,32.32260237804767
55071,2022,81242,16638,66412.0,9.972713340559936,23.096091483188257,137.86140213337134
55073,2022,137820,31080,73248.0,8.32947130698328,27.04629668179358,89.1926838960027
55075,2022,41827,7926,60347.0,9.652046067140407,17.87852591809945,29.887785930082
55077,2022,15619,2975,59748.0,10.412371134020619,14.453824507546686,34.27376440873971
55078,2022,4279,1378,62194.0,19.981194170192758,18.930868167202572,11.965381765306265
55079,2022,933063,221958,59319.0,17.82222986162583,33.08455787574117,3864.302960775625
55081,2022,46208,11645,66451.0,11.57503191442532,20.10831250400564,51.290703559979754
55083,2022,39048,7736,73611.0,8.270285729142293,17.34552026134705,39.14676729388247
55085,2022,37799,6490,66111.0,9.556607834696514,27.080108691913455,33.93258548006004
55087,2022,190611,44062,78705.0,6.91295411472653,31.55572636433513,298.9709155416692
55089,2022,91745,19294,92258.0,4.499191795329134,49.80067321265144,393.7367763753643
55091,2022,7363,1598,70833.0,7.823222618720835,22.820318423047762,31.735974621564772
55093,2022,42187,8574,82996.0,9.818043972706596,31.023950534510377,73.49421098293085
55095,2022,45128,9134,74142.0,8.327346205657836,22.75676003395174,49.35689911628314
55097,2022,70281,13289,71301.0,10.412273145810437,33.60544811629633,87.75537725035399
55099,2022,14066,2528,55822.0,13.558344151161114,16.08927070688206,11.216396064931658
55101,2022,197068,45327,72658.0,11.328373294986818,27.99917054854883,592.4879213255124
55103,2022,17256,3645,61985.0,14.512793239969273,19.933527885862517,29.439563251727375
55105,2022,163817,37158,70630.0,9.865931384753274,24.390135367253762,228.10432670952576
55107,2022,14179,2862,57473.0,11.395766056691784,17.119198921625266,15.520719651733398
55109,2022,93752,22620,97950.0,5.94066874279372,37.78063061652628,129.82200571066164
55111,2022,65664,14743,72930.0,8.608146306050262,25.15817299358641,78.96227334001132
55113,2022,18057,3241,57519.0,13.241387138884159,26.918863652961367,14.358301526717558
55115,2022,40848,8669,65493.0,10.075120417280193,18.171268643981023,45.73091886142909
55117,2022,117741,25530,68969.0,7.694455837820384,26.640616440857467,230.17913313092964
55119,2022,19979,4617,61360.0,8.826062724831536,15.829976985040275,20.49018924118919
55121,2022,30679,7728,68474.0,7.383728633894263,19.67268351383875,41.85596603389516
55123,2022,30811,8007,65177.0,14.586075282969201,24.317521781219746,38.92425492348682
55125,2022,23146,3863,63726.0,9.788892782060268,29.164598842018197,26.985811055018594
55127,2022,105127,20969,75172.0,9.560842166967905,30.807737031679856,189.2703530398806
55129,2022,16685,3065,58504.0,12.353548230437687,23.109877032923443,20.931761328994344
55131,2022,136842,29174,91915.0,4.732004999632379,33.941118461601675,317.7613063226238
55133,2022,407290,86070,101639.0,4.949786929701702,47.17281876300255,740.8977215880667
55135,2022,51822,10469,69198.0,8.838755923698779,19.450042426813745,69.30836081754495
55137,2022,24672,4457,61033.0,11.470188551044675,16.507087456539182,39.402006832108675
55139,2022,171197,34702,70041.0,10.81834938538348,29.329130168901752,393.8306452540505
55141,2022,74138,15928,63273.0,10.496386199372697,21.319029991689963,93.48853807673731
56001,2022,37525,5812,55887.0,23.045032165832737,55.940476754656174,8.779472061859892
56003,2022,11690,2908,61262.0,11.134472185720542,20.517978375660046,3.726541358392863
56005,2022,46857,12591,93315.0,9.52597599549374,21.914774042117095,9.757677165969225
56007,2022,14609,3333,65196.0,13.900385328956757,21.062487679873843,1.8497682756573837
56009,2022,13729,3303,79235.0,11.022869328627106,21.957894736842103,3.2265607832676655
56011,2022,7258,1795,68876.0,6.325594327818712,23.277393879565647,2.542669768223985
56013,2022,39402,9781,60030.0,13.862624052512306,24.25245377767633,4.290478995686872
56015,2022,12592,2493,62356.0,9.272089641604653,23.970373695432613,5.657767096076452
56017,2022,4616,964,64031.0,16.082197900379718,28.234582829504234,2.3028979296368894
56019,2022,8536,1657,60667.0,16.664684191744975,31.818181818181817,2.0548116679408936
56021,2022,100316,22876,76282.0,8.980434428896844,30.48969448910978,37.34962008500803
56023,2022,19794,5188,83033.0,7.0588834037355594,23.0938138865753,4.857021640173561
56025,2022,79506,18989,69104.0,9.127503012588775,26.581692202234287,14.887266954615237
56027,2022,2460,446,54375.0,18.340807174887892,20.03188097768332,0.9367759978187591
56029,2022,29878,6143,66754.0,9.573047557092478,32.75830000929973,4.3057835530251385
56031,2022,8618,1684,64753.0,11.964391691394658,22.124163116250763,4.140365003586427
